index,sentence
434,Cada vez viajo verlos piensa/sabe Profesor O natural intercambio virtua intercambio físico
435,Y sólo mundo virtual
436,También vida aviones
437,Aviones interminables gasto gasolina tipo humo embargo define
438,¿Que cómo paga aviones
439,No puede negar universidad dice Profesor O mismo especie refugio tampoco puede aceptar universidad UN lugar ilustrado
440,Ante realidad tan sólo puede inmiscuirse robar pueda
441,Abusar hospitalidad 39 universidad escupirle mission statements unirse colonia refugiados clanes gitanos transitan
442,Estar universidad ser parte así justifica Profesor O auto-imagen intelectual subversivo
443,Y roba puede universidad roba becas cuentas investigación roba recursos encuentra canaliza amigos poetas muertos hambre amigas reducen vida maleta pasan años mochileros hacer documentales feministas ¡ bolivianas roba libros hace PDF colecciones P libros raros divulga red roba papel pintura cartulinas protestas roba viajes avión roba tijeras grapadoras roba bolígrafos roba papel baño sillas escritorios roba muebles roba café comida roba vino roba vino
444,También incitar violencia
445,Les inserta estudiantes compañeros desprecio visceral universidad campus Sus decanos trogloditas cínicos habla miedo asquerosidad universidad
446,Practica retórica campañas cizañeras
447,Varios estudiantes terminan clases odiando padres cagándose setenta mil dólares año gastan educación elitista blanqueada
448,Robarle academia sembrar odio escupirle posible listo correr.cuando toque
449,Lo dice O performance intelectual subversivo muy contentas altas esferas corporativas universidad americana
450,Se ríen pataletas dan tribuna
451,Lo invitan hablar explayarse crítica feroz academia corporativización mundo
452,En alguien hablé ádentro instituciones pueden seguir estafando millones personas
453,El Profesor O legitima
454,Es decir mientras robe bolígrafos licencia robar billones efectivamente negarle conocimiento endeudar mayor parte población
455,Cerrar ventanas cercar amurallar universidad olor abombado Profesor O trata mirar computadora preso trata mirar hoyo cerradura mundo exterior
456,Forzado cambiar trabajo cada par años recorre silencioso estacionamiento pavimentado Estados Unidos cada sitio va juntando raros perdido sido jodidos monstruos menos domesticados valientes hablan gritan miedo ser diferentes desterrados tierras lejanas llegan allí azar suerte mala buena llegaron libros adolescencia logran aunque quieren asimilarse vida poca regañadientes quejan aun así disfrutan vasto desierto personalidad igual repite aburren homogeneidad mierda escupen piso fuman cigarrillos cadena apasionan importa parten premisa mundo basurero saben basura llanto trauma alguno pues basura pone rebuscar ver encuentra afanes acumular hacerse importante sólo curiosidad reproducirse hijos heredarán mundo mierda comparte basura curiosidades tan solo alegra diferencia insistencia seguir construyendo diferencia pelos verdes tatuajes transgéneros anarquistas confundidos marxistas ácratas poetas punks lesbianas conservadoras feministas musulmanas locas santeras blancas rezan nombre Queer Christ profetas hastiados religión 41 fieles ... da igual diferencia sentimos menos solos
457,Me llenaba meta-conversaciones compañeros nómadas
458,Las conversaciones aun sobrios convertían borradores
459,Luego movían sitio movía sitio quedaba hablando solo Alice
460,En conversaciones noche después día trabajo contamos historias vida
461,Es decir resumimos vida rara interesante relato corto
462,Como historia vida Amy Bishop doctorado Biología Harvard consiguió trabajo profesora Universidad Alabama medio genia mujer jefes despreciaban pesar conseguido millones dólares becas luego cinco años allí trabajando doble trabajaban colegas llegó reunión decidir si darle cátedra tenure dijeron sentían decidido
463,Ella respiró hondo pidió esperaran momento allí iba buscar oficina
464,Volvió nueve milímetros asesinó
465,Alice dice historias vida contamos n ángel simplifican compleja realidad social mn nunca da claro quiere decir ángel
466,El problema recuerdo haber escrito ninguno obituarios rmados A.M.
467,Sé contamos historias sé nunca escrito
468,Entonces Alice escribiendo sepa preocupante significa esquizofrenia control
469,42 III Alice dice máquinas clandestinas formando mundos adentro éste
470,Que mierda rodea cascarón
471,Una vez rompa aparecerá trabajo subterráneo trabajo ingenieros incansables
472,¿Pero cómo encuentro
473,Tú encuentras O encontrarán hagas falta
474,Es si hacen promoción joden si ponen campañas convencer jode
475,Están construyendo formas grupos chiquitos
476,Te deshacer ángel
477,Y vuelves puto ángel
478,¿A refieres Alice
479,¿Quién ángel
480,Ese día Profesor O encuentra piso oficina libro raro cartulina blanca
481,En portada tan sólo círculo parece dibujado mano luego digitalizado impreso
482,El título La dignidad nombre autor
483,No ninguna información año publicación editorial imprenta ciudad impreso
484,El Profesor O presta mucha atención entera web mismo día cientos personas reciben versiones mismo libro diferentes idiomas
485,No copias
486,Versiones
487,Porque comienzan comparar contenidos descubren cada personalizado
488,Los libros misma Portada mismo título contenidos cambian sesúnsel lion recibe
489,Cuando empezamos comparar llegamos conclusión diferentes versiones Lg dignidad comparten todas estructura primera parte larga lista obituarios muertos recientes sente muere O asesinada causa violencia estructural
490,La segunda parte lista manifiestos brevísimos 43 postulan modos organización social muertes sucederían último lista reseñas modos concretos insurrección sucediendo alrededor globo cómo continuarlas apoyarlas
491,Estas tres partes precedidas suerte prólogo titulado igual libro La dignidad prólogo decirlo refiere doctrinas clásicas anticapitalistas En alienación mundo moderno
492,Curioso examino libro encuentro obituarios tres cuatro escritos Alice así obituarios gente menos cercana obituario Antonio Calvo profesor Pueblo Princesa —tras diez años enseñar allí noche mañana— universidad decidió despedir inmigración requirió deportación inmediata
493,Forzado abandonar vida carrera esfuerzos década deprimido desesperado Antonio Calvo suicidó
494,Al pasar página O encuentra hoja suelta escrita maquinilla invitándolo escribir libro dándole instrucciones precisas cómo acceder página web codificada .en puede tener acceso bancode obituarios manifiestos modos insurrección
495,El proceso secretividad exagerado contagia Profesor O dulce paranoia
496,Primero baja software llamado Torr asegura IP identidad computadora puede ser rastreada Luego abre buzón electrónico dirección .omion y/envía yn mensaje contestando pregunta muy personal incluida hoja suelta
497,Recibe mensaje buzón dirección página web Internet profundo Deep Internet
498,Para entrar página Pone contraseña específicamente diseñada encontraría página 55 44 versión La dignidad recibido
499,Todo proceso ridículamente innecesario piensa/sabe
500,La dignidad O menos versión recibí ninguna información podamos encontrar web
501,Las insurrecciones reseñan invitan apoyar insurrecciones armadas manifiestos políticos si bien radicales reproducen versiones variaciones mismos principios anarquistas moda
502,Entonces ¿por lá paranoia
503,Cuando finalmente logra entrar página descubre enorme base datos miles obituarios cientos manifiestos breves reseñas insurrecciones concretas alrededor globo
504,Tan sólo hojeando listas puede identificar menos catorce idiomas diferentes refrescar página descubre listas siguen creciendo exponencialmente gracias gente curiosa llegado allí siguiendo instrucciones contagiados misma paranoia
505,Es suerte Babel virtual cualquiera puede añadir muertos sumar propios manifiestos reseñar entienda modo insurrección
506,Al leer Profesor O descubriendo palabra insurrección perdido especificidad página web cualquier cosa podía ser vista insurrección gato durmiendo podía ser considerado insurrección según revolucionarios
507,En página modelo template pude descargar
508,De manera cualquiera puede crear versiones libro apropiándose selección personal crecientes listas obituarios manifiestos insurrecciones página añadiendo
509,Parece haber tan sólo tres reglas visibles primera pueden imprimir dos copias misma versión libro segunda cada versión tener exactamente cien páginas
510,45 La tercera destinatario cada versión La dignidad nunca puede enterarse quién preparó versión
511,De manera libro siempre cambia actualiza cada versión libro vivo
512,No autores números imprenta solo idioma siempre mismo libro contenidos varían según circulación
513,O quiere jugar
514,Baja modelo lanza tarea hacer versión libro hermana profesora especializada culturas moriscas clandestinas España siglo XvI casada ingeniero duelo recientemente perdido perro Acteón bullmastiff cinco años ciento cuarenta libras vigilante leal sueños
515,Selecciona cuidadosamente obituarios manifiestos insurrecciones
516,Traduce francés obituario joven Mohamed Bouazizi insurrección siguió
517,Escribe par obituarios mismo incluido perro Acteón seguido manifiesto manipulación genética animales domésticos
518,Envía libro correo hermana dirección remitente falsa
519,Y igual O miles personas alrededor mundo hacen mismo
520,La dignidad causa revuelo hace viral redes sociales virtuales físicas
521,Llega noticias apenas semana después China Arabia Saudí finalmente Estados Unidos prohíben posesión distribución cualquier copia versión La dignidad convierte símbolo político entendemos bien Empezamos ver círculo dibujado mano Ta portada diversas manifestaciones Asia América Latina
522,El Profesor O entonces logra entender necesidad libro secreto página web difícil 46 acceso llena trabas paranoicas
523,En fondo importa contenido libro suerte caja lienzo anarquista
524,Lo importante modo difusión medio anónimo secreto
525,El libro principio actúa arma terrorista si contuviera secreto insurgencia revolucionaria muertes causa capitalismo muertes cercanas lector puede identificar alguien conoce preparó exclusivamente
526,Al actuar si realidad bases datos conocimiento público contagia ahora paranoia prefabricada centros poder global
527,Los centros poder ahora sienten tan vigilados gente
528,Esa noche O va cama contento entusiasmado sueña duende orejas puntiagudas mueve muy lento dice siguiente No veveveveerdad aaaafuera cacacacapitalismo
529,Eso dicen antroponarcisos humanistas
530,¿Y galaxias
531,¿El fondo mar El éspacio-tiempo
532,¿El futuro
533,¿Los cincuenta mil años homo Sasasasasapiens
534,¿La evolución pasada hará perecerrrrrrrr
535,Los creen afuera capitalismo sólo dicen conformista conveniencia dicen idea pueril mundo acaban entender terrible interconexión colectivismo inininininininmenso largo apenas empezamos entender juventud monananananarcas Mariposas
536,Pero si dije capitalismo replica O duende ¿qué tragaste Zaratustra
537,No Enheduanna Enheduaaaaaaaaanna
538,El Profesor O levanta mañana pensando Alice Mar preguntándose cómo carajo llegado 47 obituarios bases datos secretas La dignidad descubriera
539,IV Han llegado lobos montañas Colorado
540,O encuentra madriguera lobos forma-que deja vacío as raíces extraídas Recuerda yuca-ángel Alfred contamos
541,Las formas tierra deja yuca desangelada parecen nido lobos
542,La orquí- dea órgano mariposa madre
543,Hay vínculo genético ambas recuerda O decía Trilcinea
544,Las ratas mueven igual plantas calabaza recuerda decía Jefe
545,Las ratas gran zapallo biología falsea naturaleza clasificarlas piensa/sabe O. Si centráramos tan sólo movimientos única diferencia ratas zapallos velocidades opuestas Unas mueven rápido muy lentos
546,O sabe sucederá La dignidad visiones futuro mundo piratas vuelven hogar vacío mundo cambia noche mañana cambio fácil rápido anestesiado Ve mundo lleno sombrillas reflejan luz solar flotan Por planeta parece
547,Todo mundo cree fin capitalismo violento piensa O tal vez tranquilo obvio fácil ángeles sombrillas vamos viendo cómo decimos saber referimos cosas Profesor O sacó culo arrebatado
548,Lo sabe mientras corre montaña ve orquídea mariposa sabe tan animal vegetal
549,48 El efecto marihuana continúa recién comienza efecto segunda dosis kratom justo justo precisamente sol empieza calentar
550,Hoy buen domingo piensa O. Y sol tuesta cara
551,Llega quebrada descansa toma agua ahora camina lento explora saca bolsita plástico hongos Artista Chilena envió correo
552,Se come sabe hora sentirá efectos
553,Le gusta combine fin tarde
554,Ya adrenalina tener volver casa caiga noche hongos incapaciten
555,Uno va montaña piensa O mientras camina lento confunde mariposa orquídea
556,La falsa división vegetal animal daña Trilcinea sabemos fácil cabeza
557,El inodoro extensión culo tuberías intestinos Mi sistema urinario
558,Los espejuelos tele pantalla computadora extensiones ojos
559,El horno extensión estómago
560,Las habitaciones duermo cocino piel
561,Las drogas extensiones sueños
562,La música grabada extensión oído puede escuchar alrededor planeta escuchar pasado
563,La bicicleta ruedas extensiones piernas
564,La flecha extensión puño
565,Como manzanas leo libros charlo amigos amo alguien cosas alimentos recibo cosas pasan metabolizo cruzan expulsadas mejor dicho devueltas compartidas forma si licuadora
566,Todo piensa/sabe pregunto ¿qué ver orquídea mariposa
567,Lo obvio desbunde relaciones colores formas movimientos Si acelera 49 temporalidad crecimiento orquídea suficiente seguro vuela mariposa mariposas monarcas migran Canadá México conté O mientras camina bosque loco piensa montaña ola si aceleras movimiento millones años tierra sólida planeta comprimes dos minutos puedes ver cómo continentes mueven tierra sólida parece líquida piedra gota espuma montañas olas expresión exterior movimiento sutil rápido insignificante larga placas tectónicas
568,Voy montaña surfista piensa/sabe ríe comprobar arrebatadísimo increíble cantidad drogas varias ahora tanta práctica puede meter disfrutar funcionar sobrevivir cualquier persona escondería debajo cama llorar pasan horas sigue caminando montaña tiempo volver casa
569,Pero piénsalo serio O ¿no crees momento hacértelas bravo
570,En acabas pensar clave
571,Y alegra escucharme
572,¿Ahora quieres tome serio Alice ¿ahora qu volado chiringa montaña varias ¿millas pueblo anochece par horas puedo perder
573,Hay osos gatos monteses montaña Alice
574,Si ahora ¿cuándo
575,Te vas olvidar
576,Pues dale hablemos mientras corro
577,Tuberías prótesis orquídea/mariposa ola-montaña clave ahí
578,Encuéntrala
579,¿Y cómo sabes
580,No sé
581,Yo cabeza
582,En siempre claros
583,50 Por supuesto
584,Pues veamos
585,Si jugamos diferentes temporalidades prótesis pasa mismo orquídea/mariposa ola/montaña
586,La clave tiempo
587,De manera tiempo hace creer diferencias cosas trato ayudar O. El tiempo va obligar quedarme toda noche montaña mientras alucino hongos
588,El desespera ayudo
589,Pues dar clave rápido
590,El tiempo clave dirección
591,Pues dale
592,Aceleremos entonces prótesis
593,Si hacemos pues inodoro parece prótesis culo
594,Podemos ver tuberías naciendo fábricas moviéndose creciendo ciudad acumulando cemento membranas alrededor finalmente sale inodoro tubería inodoro salgo
595,¿Cómo mueve ciudad
596,Si pudiéramos ver crecimiento Nueva York tres siglos video dos minutos ¿a parecería
597,Sería Ameba crece flor abre expande llena colores diferentes podría ser feto creciendo nueve meses barriga
598,¿Con organismo hace rizoma ciudad tornamos temporalidad compatible
599,Se mueve crece interactúa alegra esguinza contorsiona devora metaboliza caga copula reproduce personalidad preocupa socializa
600,Qué triste poder ver cosas
601,Qué triste ho poder saltarnos Cajón temporal ver organismos grandes lentos titanes dioses sólo bacterias SUS intestinos tal vez genes
602,¿Con organismo hace rizoma ciudad tornamos temporalidad compatible
603,Se mueve crece interactúa alegra esguinza contorsiona devora metaboliza caga copula reproduce personalidad preocupa socializa
604,Qué triste poder ver cosas
605,Qué triste poder saltarnos cajón temporal ver organizmos grandes lentos titanes dioses sólo bacterias intestinos tal vez genes
606,Vamos bien
607,Es necesario confirmarle pensamiento O validarlo continúe
608,MY La clave si quitamos factor tiempo podemos ver prótesis El cosmos completo pró- tesis extensión poderes
609,La luz estrellas prótesis mirada
610,Todavía
611,Demasiado antroponarcicista
612,Vas muy lento
613,No uses culo ejemplo
614,Puñeta distraigo
615,¿Qué distrae
616,Pues Alice distraes
617,Exacto usa ejemplo
618,A ver
619,Entonces supongamos mariposa orquídea
620,Mejor piedra espuma ola
621,Alice casi nO Veo va ser noche pronto
622,Confía camino abriste volver
623,Y así piensa
624,Dale
625,Pensemos prótesis cambiamos temporalidad ¿qué sucede
626,No tan fácil ¿verdad
627,No
628,Y veo dando miedo
629,Detente
630,Recupera aire
631,Y espera pupilas adapten noche
632,Ignora alucinaciones
633,Y piensa clave
634,Si salgo inodoro pues
635,Tú venimos misma tubería
636,Pero salen tubería inodoro cagaron ahí alguna vez salieron ahí
637,Tú salimos misma tubería significa sales
638,Guano mezclado
639,La montaña vibra Alice
640,La siento ondas ojos cerrados
641,Veo ondas
642,Ya puedes ignorar alucinaciones
643,Simplemente disfrútalas
644,Acéptalas continúa 52 dos tareas simultáneas
645,La clave camino
646,Eso
647,La clave existes afuera cabeza obituarios probablemente escritos
648,Que idea Alice existe nombres celebración muertos gravedad tira hacia historia concentrada vidas existe afuera pluralidad existencias diversos mundos habitados misma vez
649,Que montaña alguien movimiento movida gancho izquierda practicado
650,No caigas madriguera lobos
651,Y así O cae hoyo madriguera cueva Bruja Rumana da golpe terrible cabeza
652,No ve percibe presencia bruja cueva bruja revela
653,Es bruja rumana muestra O propio obituario
654,Hay dios parece humano animal
655,Es dios sólo podemos entender minerales objetos plasticidad parece fría máquina metal uranio humano
656,Es dios cruel indiferente da igual exterminio si fondo anomalía átomo anomalía cosa
657,O escucha lee obituario orgullo
658,¿Por dicen morí La Catedral pregunta O Bruja Rumana
659,Ella enseña La Catedral cree allí tres días
660,En La Catedral ve acerca da dinero
661,Es dice
662,Te prometo enviarte voltea mirada hacia bruja quiere confirmar si volverá verme
663,No querido Ole dice Bruja Rumana despide
664,Tanto tiempo esperando revolución revolución sucedió sólo nadie preocupó avisarme conocía piensa/sabe O. Todo hermoso lento piensa sabe si O despierta logra salir cueva va morir
665,El Profesor O piensa sabe cae cueva rompe columna muere asfixiado
666,Su funeral Puerto Rico
667,Alfred prefirió ir
668,Trilcinea dijo palabra
669,Yo acerqué padres devastados O
670,No hice decir nombre padre fundió pecho abrazo pulpo
671,Quise pude escribir obituario
672,La madre contactó días después diera vuelta casa
673,El padre escritor resignó darme computadora O insistencia madré pronto miraba hija
674,3/ Los años 2037-2040 Se abre puerta casa Artista Chilena Profesor Lagartija Brooklyn abre pregunta saludos transiciones corriente energía irradia cuerpo pequeñito Alice cargando maletas grandes Pero Alice sólo dice pide suplica fayor cuéntenme pasado
675,Hay alboroto sostenido puerto desembarcó
676,Se forman grupos tres cuatro personas intercambian información apartan nunca encontrarse unen grupos pasantes curiosidad inexplorada
677,Desconocidos ruegan algún dato insaciable sed colectiva imaginación
678,Todos niños pidiendo explicaciones cómo funciona universo especialmente viejos parecen tener sensación extraña vacío abismo podrán saciar preguntas morir aunque queden décadas vida
679,La gente quiere conversar acaba pasar opinión cualquiera importante ser opinión sino ser catalizador imaginativo droga merecemos mundo mismo merece tras tanta muerte cansancio
680,¡Todavía esperando confirmación oficial NASA grita Lagartijín cuarto mientras abandona computadora segundo saludar Titi Alice da besazo abraza comentarios ocasión grande guapo tiempo chicas locas contigo chicos mira edad mejor gusten ambos etc
681,sintetizados tierno presuroso bien ves Jincito
682,Lagartijín excusa casi gesto vuelve rápido puede cueva frente única computadora casa monopolizado últimos diez años
683,Pues Lagartijín despertó cinco media mañana noticia dice Profesor Lagartija
684,Con ciego terrible añade Chilena española deberíamos hacer Lagartija
685,Lo dice costumbre miedo piensa/sabe Alice sonriéndole amiga
686,Y resistencia continúa Profesor llega casa madrugada fiestón habiéndose metido despierta noticia lleva día pegado ordenador sin-dormir leyendo foros discusión contacto
687,Lagartijín interrumpe conversación Alice Chilena Profesor Lagartija información hormigas
688,Nos dice seres contactaron equivocaron creyeron especie dominante planeta hormigas si hormigas descifrado toda información enviaron antenas necesidad establecer lenguaje común precisamente gran reto Lagartijín manera quiere dejar saber mayores leído Kropotkin
689,¿Cómo encontrar lenguaje común especies inteligentes galaxia vienen conversando milenios quizá millones años
690,56 A Chilena gusta idea entrar conversación ¿in media res
691,Dice juego infantil dos chicos toman cuerda puntas mueven círculos tercero encuentre momento preciso entrada
692,Es diferente siempre soñamos momento dice Alice
693,Siempre pensamos contacto total ser saliendo nave espacial extraña recibimos mensaje codificado lenguaje matemáticas saludo bienvenida comunidad galáctica siempre visto nunca supimos ahí
694,Lagartijín interrumpe Alice decirle saludo matemáticos hackers escribiendo foros mensaje presenta cierta urgencia comunican necesitan precisan pongamos comunidad galáctica rápido posible
695,Pero ¿cómo comunicaron
696,¿Cómo llegaron directamente público gobierno pregunta Alice
697,Los primeros reportar Wikileaks información hizo viral
698,Allí mism través única computadora caga Mac 2019 pueden ver mensaje entero
699,En sala lá Casa Lagartija conversación llena silencios
700,Cada Pregunta cada comentarlo recibe largas respiraciones suben techo atraen miradas silencios reflexivos cada palabra dice catalizador humo
701,Es buenísimo información hecho viral tan rápido así corporaciones pueden manipularla favor escondérnosla dice Alice
702,Aun así van aprovecharse evento militarizar vida todavía replica Profesor Lagartija
703,Lagartijín grita refutación cuarto levantarse computadora acto seguido da raya coca espaldas puerta seguir despierto
704,Dice anticipado varios grupos activistas arguyen militarización innecesaria mensaje establece claramente ninguna innumerables poblaciones existen galaxia podido resolver problema viajar rápido luz manera contacto físico intercambio material impensables única forma contacto posible tener distancias interestelares ondas informativas
705,En galaxia sólo puede conversar único puede intercambiar conversaciones
706,Si podemos encontrarnos físicamente intercambiar material ninguna excusa carrera armamentística siquiera transacciones económicas
707,¡Sólo podemos conversar grita alegría Chilena prepara porro gordo gigantesco fuerte obvio pedido telepático Alice Profesor Lagartija mueren pensar Contacto lentes verdes
708,Sólo Lagartijín vibra intensa niega fumar conversación barrio galáctico hiperpoblado ¿sobrepoblado pregunta momento Profesor culturas completamente diferentes planeta desencadena delicioso incontrolable impulso seguir probando hipótesis imaginativas alargue jangueo conversación llena silencios alrededor mesa escena repite mismo momento todas casas habitadas Brooklyn planeta
709,Y hablan
710,Y hablan
711,Y fuman siguen fumando comparten unas botellas chicha durazno Alice 58 trajo Bolivia
712,Y hablan posibilidad especies pensaran manera colectiva planetaria hablan planetas enteramente habitados solo organismo tivos universos juntan información genética universo reproducen entonces nacerían pequeñas variaciones código leves diferencias leyes físicas
713,Contemplan adrenalina cansancio posibilidad lejana galaxias universo tan pobladas
714,Y luego conversaciones impresionistas O pixeladas cada hablador verbaliza posibilidad vez continuar externalizando introspección conversación puntilleos especulativos cada proyecta deseo temor ver mundo Ellos ¿Y si azules capaces proyectar sueños realidad
715,¿Cómo música
716,Seguro muchas especies sistemas musicales si azules pues seguro
717,Seguro aliens tecnologías permiten controlar planetas enteros manipular estrellas controlar burbujas radioactivas sistemas solares Me pregunto si mundos chinga bueno chingar saciedad marca universal seres inteligentes galaxia
718,¿Y si pasan milenios nunca logramos entendernos
719,¡Milenios
720,Siempre ahí sabíamos casi bonito
721,Hubiera sido lindo nunca sabido pasáramos fantasmas galaxia enterarnos existencia Ellos encontraran 39 restos millones años después inevitable muerte especie perdido lamentaran
722,Se escucha ladrido desaprobación cuarto Lagartijín
723,¿Y si periódico interestelar resumen acontecimientos vecindad galáctica
724,¿Contarán chismes mundos
725,Seguro
726,Seguro tratado comunicarse
727,Ese mensaje llegó deben haber enviado hace cien años
728,¡Eso sabemos grita Lagartijín cuarto
729,¡El mensaje tomó 50 añoserttepar Y dejen referirse Ellos solo grupo
730,¡¡¡Son
731,Por ahí lentos mueven despacito temporalidad basada metabolismo
732,Exacto
733,Es metabolismo determina tiempo
734,Qué tan rápido conviertes jamón mierda determina temporalidad
735,Por ahí lentos muy pequeños lentos grandes rápidos rapidísimos viven mueren dos segundos humanos toda vida
736,Así mundos comunican términos generaciones
737,Cada mensaje contestado nietos bisnietos Así menos
738,¡Estáis fumaos sermonea Lagartijín parece latinoamericano habla castellano peninsular padres norteamericano
739,¡Ásí puede chavales
740,¡Dejaros gilipolleces ponerse leer siendo publicado foros
741,¡Esto serjo
742,¡Serio
743,Hay volver pregunta sexo acá
744,Estamos asumiendo S£neraciones manera reproducen manera sexo
745,60 Todo vivo
746,Somos numerosas especies bacterias habitan estómago ayudan digerir
747,Habitamos estómago galaxia metabolizador universal
748,¡Basta
749,Y así después rato sucede cualquier noticia discutida amigos fuman pasto pasan temas importantes dejan contacto tintero preguntan Alice viajes proyectos Profesor Lagartija habla libro escribiendo Chilena interrumpe enseñarle Alice ve hace diez años nueva instalación
750,Y Lagartijín colapsa cama ronca siguen hablando bebiendo horas cada hora hablan duro ríen boca jarro despiertan Lagartijín resignado dormir dado ruido une conversación mientras hace café enciende finalmente porro pasto mejor padres Chilena aprovecha oportunidad nuevo porro pregunta Alice finalmente Trilcinea
751,Tijín intuye tres borrachos apestosos cigarrillo pasto hablar Trilci escucha atención
752,Alice cuenta cómo Trilci enferma barco tomaron Puerto Rico pasando Canal Panamá Juego puerto Arica Bolivia Trilci casi podía comer llegamos Bolivia
753,La conexión Tiago funcionó súper bien
754,Nos recogieron La Paz camino alturas contaron hacían
755,Tiago contado experiencias comedores escolares SODIE necesidad huir Puerto Rico
756,Desde primer momento dijeron gustaba hacíamos 61 drogas mariconerías imaginara venir muerte feliz
757,Pero ganas trabajar compartir experiencias
758,Trilci enferma primeras semanas allí buenísimas
759,Pocos años Alice Trilcinea conectadas Tiago largado Puerto Rico hacia cárcel Bolivia
760,Una cárcel retomada supuesto
761,Una cárcel parecía La Catedral Tiago
762,La Chilena intuyendo Alice lista hablar Trilci pregunta cómo empezó catedral/cárcel Bolivia
763,Pues empezó hace veinte años desmadre grupos humanitarios quejaban niños cárcel Bolivia
764,Los niños entraban sistema muy sutil corrupción policial sólo permitía ingreso niños sino verduras familias bebidas modo cárcel boliviana vuelto cárcel modelo derechos sino infracciones
765,Entonces gente llegaba trabajar voluntarios dilema denuncias corta visitas alimentos arma huelga hambre presos cosen bocas bregas transa
766,De transgresiones convirtieron cultura convivencia violencia
767,Cuando llegamos allí Trilci hicimos propuesta introducir pijchado Lagartija idea sustituir pasta base tampoco saben piensan crack
768,Entonces compañeras armábamos cárcel acullis Lagartija contienen risa piensan marihuana ¿qué entonces pijchado
769,invitábamos pesados claro debería haber sido política sistemática acompañada gente sabe
770,Porque único logramos picara ganas
771,62 Claro muchachos picaban aire verdad aculli ajtapi ¡uf hacen mal nadie
772,Pero situación intervinimos lucha marihuaneros basuqueros tampoco saben basuquero imaginan últimos pueden matar mamá conseguir dosis cambio marihuanero ética
773,Ahí ocurrió hablar compañeros viejos guerrilla katarista todavía preso quería ver cómo podía hacer pasta base matara
774,¿Qué hace
775,¿Denuncias cortan
776,¿Transas cómplice mafia
777,¿O usas transa crear espacio ética menos saque adelante mínimo valores
778,Historia oral acullicu comida hacíamos
779,Pero oponerse dragón canica
780,Un juego niños empezamos meter cocinas
781,Ninguno tres Lagartijas atreve decir
782,Es prólogos piensa/sabe Chilena inventa prólogos hace interesantes convertimos prólogo libro libro duele Alice ganas olvidar pensar cosas
783,Pues apenas par meses allí felices dos enamorándonos nuevo volviendo nacer luego perdimos Puerto Rico enteramos Trilci muriendo manera curarla
784,Ella desesperó primeros días luego aceptó Y tomó muerte oportunidad decía compañeros cárcel venido morir compartir Muerte feliz invitarlos aceptaran programas muerte felizy uso drogas buen vivir conocimiento 63 adquirimos Puerto Rico gracias morideros Tiago
785,Es decir aprendimos isla maldita mundo muriendo
786,Y quisieron
787,Venía días trabajar comedor semana morir
788,Yo desajusté tras muerte caminaba pesas bolsillos podía allí
789,Lagartija mira Alice ojos boca abiertos
790,Quiere decir consuele siempre tantas palabras sabe escuchar consolar tan borracho salen palabras cara paralizada cerebro enviando direcciones contradictorias empieza dar tic párpados tartamudea eterna acababa hacerse palabra
791,La Chilena solamente dice duro tía
792,Porque veces suficiente duro tía tres palabras casa refugio duro tía brisa
793,Tijín experto líneas fuga desplazar conversación entrar médula apilar muebles casa esquina pregunta Alice Gran Hambruna Puerto Rico Alfred
794,¿No contó Nueva York pasó hambruna isla pregunta Alice tres caras dispuestas dicen silencio salvo Lagartija escuchar primera vez Gran Hambruna extiende eeee tic demasiado procesar hombres da bien consolar salvo jóvenes
795,Pues van casi diez años comienza contarles Alice
796,Alfred Y Santurce empezó Trilci vivía cerca novio justo después mataran Jefe
797,De noche mañana cerraron puertos entraba salía tampoco manera 64 salir isla
798,Y pues claro pánico
799,Los militares metieron escuelas sitios podían confiscaban alimentos convertimos mendigos
800,Nos encerraron ciudad dejaban salir campo decían campos cuestión seguridad nacional ahora comida
801,Mucha gente empezó morir rápido luego despacito
802,Los niños iban primero
803,Para evitar contagios vez gente enfermaba feo echaban ciudad murieran desahuciados dejaban salir saludables
804,La cosa muy mala cuatro años sabemos bien información dos terceras partes población murió cuatro años
805,Puerto Rico producía alimentos Gran Hambruna diseño plan décadas sabían iba pasar
806,Nos daba miedo gente supiera gato casa comía gato cada esquina entendía Alfred gato muriendo hambre
807,Fue golpe poblacional diseñado
808,Sabían petróleo empezara escasear poblaciones completas podían desaparecer toque botón usarlos producir excedente bestia luego matarnos
809,Cerraron puertos casi matan querían matar punto
810,Que mueres unes militares esclavo hicieron entiende
811,Nosotros podíamos seguíamos gritando protestando cagábamos miedo muy cabrones disparando
812,Si encontramos contacto ejado Jefe mataran chances sobreviviríamos menos tres
813,El novio 65 Trilci desesperado mató después conseguimos salir San Juan costa oeste planes irnos República Dominicana mundo decía allí mejor dominicanos iba mejor Haití abundancia
814,Todo mundo quería irse Haití días plan salimos mapas Jefe llegamos oeste dio tratar conocer Tiago contacto Jefe quedamos Isabela trabajando moridero
815,Y cabrón todavía ciudad mantuvimos contacto secreto sólo compartimos Trilci cosa tan fea preferimos sobrevivir correr riesgo militares encontraran pasadizos secretos salir ciudad encontraran mítica Catedral tanta fe
816,Todavía pesadillas cantidad gente matamos mantener información La Catedral secreto sangre Nuestras manos
817,¿Y saben
